code,tradeStatus,code_name
sh.601011,1,宝泰隆
sh.601015,1,陕西黑猫
sh.601018,1,宁波港
sh.601020,1,华钰矿业
sh.601028,1,玉龙股份
sh.601058,1,赛轮轮胎
sh.601068,1,中铝国际
sh.601077,1,渝农商行
sh.601088,1,中国神华
sh.601099,1,太平洋
sh.601101,1,昊华能源
sh.601107,1,四川成渝
sh.601111,1,中国国航
sh.601116,1,三江购物
sh.601118,1,海南橡胶
sh.601127,1,小康股份
sh.601137,1,博威合金
sh.601139,1,深圳燃气
sh.601158,1,重庆水务
sh.601163,1,三角轮胎
sh.601168,1,西部矿业
sh.601177,1,杭齿前进
sh.601186,1,中国铁建
sh.601198,1,东兴证券
sh.601200,1,上海环境
sh.601211,1,国泰君安
sh.601216,1,君正集团
sh.601222,1,林洋能源
sh.601226,1,华电重工
sh.601229,1,上海银行
sh.601233,1,桐昆股份
sh.601238,1,广汽集团
sh.601288,1,农业银行
sh.601311,1,骆驼股份
sh.601319,1,中国人保
sh.601328,1,交通银行
sh.601333,1,广深铁路
sh.601339,1,百隆东方
sh.601366,1,利群股份
sh.601369,1,陕鼓动力
sh.601377,1,兴业证券
sh.601390,1,中国中铁
sh.601399,1,ST国重装
sh.601500,1,通用股份
sh.601515,1,东风股份
sh.601519,1,大智慧
sh.601566,1,九牧王
sh.601577,1,长沙银行
sh.601588,1,北辰实业
sh.601598,1,中国外运
sh.601600,1,中国铝业
sh.601606,1,长城军工
sh.601608,1,中信重工
sh.601611,1,中国核建
sh.601616,1,广电电气
sh.601619,1,嘉泽新能
sh.601633,1,长城汽车
sh.601658,1,邮储银行
sh.601668,1,中国建筑
sh.601677,1,明泰铝业
sh.601688,1,华泰证券
sh.601696,1,中银证券
sh.601699,1,潞安环能
sh.601702,1,华峰铝业
sh.601718,1,际华集团
sh.601766,1,中国中车
sh.601778,1,晶科科技
sh.601789,1,宁波建工
sh.601799,1,星宇股份
sh.601801,1,皖新传媒
sh.601811,1,新华文轩
sh.601818,1,光大银行
sh.601828,1,美凯龙
sh.601857,1,中国石油
sh.601860,1,紫金银行
sh.601866,1,中远海发
sh.601872,1,招商轮船
sh.601878,1,浙商证券
sh.601881,1,中国银河
sh.601886,1,江河集团
sh.601890,1,亚星锚链
sh.601899,1,紫金矿业
sh.601901,1,方正证券
sh.601916,1,浙商银行
sh.601919,1,中远海控
sh.601929,1,吉视传媒
sh.601939,1,建设银行
sh.601952,1,苏垦农发
sh.601965,1,中国汽研
sh.601968,1,宝钢包装
sh.601975,1,招商南油
sh.601988,1,中国银行
sh.601990,1,南京证券
sh.601992,1,金隅集团
sh.601997,1,贵阳银行
sh.601999,1,出版传媒
sh.603001,1,奥康国际
sh.603003,1,龙宇燃油
sh.603006,1,联明股份
sh.603008,1,喜临门
sh.603010,1,万盛股份
sh.603012,1,创力集团
sh.603015,1,弘讯科技
sh.603017,1,中衡设计
sh.603019,1,中科曙光
sh.603021,1,山东华鹏
sh.603023,1,威帝股份
sh.603026,1,石大胜华
sh.603028,1,赛福天
sh.603030,1,全筑股份
sh.603032,1,德新交运
sh.603035,1,常熟汽饰
sh.603037,1,凯众股份
sh.603039,1,泛微网络
sh.603041,1,美思德
sh.603043,1,广州酒家
sh.603050,1,科林电气
sh.603055,1,台华新材
sh.603058,1,永吉股份
sh.603060,1,国检集团
sh.603066,1,音飞储存
sh.603068,1,博通集成
sh.603076,1,乐惠国际
sh.603078,1,江化微
sh.603080,1,新疆火炬
sh.603083,1,剑桥科技
sh.603086,1,先达股份
sh.603088,1,宁波精达
sh.603090,1,宏盛股份
sh.603095,1,越剑智能
sh.603098,1,森特股份
sh.603100,1,川仪股份
sh.603103,1,横店影视
sh.603106,1,恒银科技
sh.603109,1,神驰机电
sh.603111,1,康尼机电
sh.603113,1,金能科技
sh.603116,1,红蜻蜓
sh.603118,1,共进股份
sh.603123,1,翠微股份
sh.603127,1,昭衍新药
sh.603129,1,春风动力
sh.603133,1,碳元科技
sh.603138,1,海量数据
sh.603155,1,新亚强
sh.603157,1,*ST拉夏
sh.603159,1,上海亚虹
sh.603161,1,科华控股
sh.603166,1,福达股份
sh.603168,1,莎普爱思
sh.603177,1,德创环保
sh.603179,1,新泉股份
sh.603181,1,皇马科技
sh.603185,1,上机数控
sh.603187,1,海容冷链
sh.603189,1,网达软件
sh.603195,1,公牛集团
sh.603197,1,保隆科技
sh.603199,1,九华旅游
sh.603203,1,快克股份
sh.603212,1,赛伍技术
sh.603217,1,元利科技
sh.603220,1,中贝通信
sh.603222,1,济民制药
sh.603225,1,新凤鸣
sh.603227,1,雪峰科技
sh.603229,1,奥翔药业
sh.603233,1,大参林
sh.603238,1,诺邦股份
sh.603256,1,宏和科技
sh.603259,1,药明康德
sh.603266,1,天龙股份
sh.603268,1,松发股份
sh.603277,1,银都股份
sh.603279,1,景津环保
sh.603286,1,日盈电子
sh.603289,1,泰瑞机器
sh.603297,1,永新光学
sh.603299,1,苏盐井神
sh.603301,1,振德医疗
sh.603305,1,旭升股份
sh.603308,1,应流股份
sh.603311,1,金海环境
sh.603315,1,福鞍股份
sh.603317,1,天味食品
sh.603319,1,湘油泵
sh.603321,1,梅轮电梯
sh.603323,1,苏农银行
sh.603327,1,福蓉科技
sh.603329,1,上海雅仕
sh.603331,1,百达精工
sh.603333,1,尚纬股份
sh.603336,1,宏辉果蔬
sh.603338,1,浙江鼎力
sh.603345,1,安井食品
sh.603351,1,威尔药业
sh.603355,1,莱克电气
sh.603357,1,设计总院
sh.603359,1,东珠生态
sh.603363,1,傲农生物
sh.603366,1,日出东方
sh.603368,1,柳药股份
sh.603377,1,东方时尚
sh.603379,1,三美股份
sh.603383,1,顶点软件
sh.603386,1,广东骏亚
sh.603388,1,元成股份
sh.603390,1,通达电气
sh.603393,1,新天然气
sh.603398,1,邦宝益智
sh.603408,1,建霖家居
sh.603421,1,鼎信通讯
sh.603439,1,贵州三力
sh.603456,1,九洲药业
sh.603466,1,风语筑
sh.603486,1,科沃斯
sh.603489,1,八方股份
sh.603499,1,翔港科技
sh.603501,1,韦尔股份
sh.603506,1,南都物业
sh.603508,1,思维列控
sh.603516,1,淳中科技
sh.603518,1,锦泓集团
sh.603520,1,司太立
sh.603528,1,多伦科技
sh.603533,1,掌阅科技
sh.603536,1,惠发食品
sh.603551,1,奥普家居
sh.603556,1,海兴电力
sh.603558,1,健盛集团
sh.603565,1,
sh.603567,1,珍宝岛
sh.603569,1,长久物流
sh.603578,1,三星新材
sh.603580,1,艾艾精工
sh.603585,1,苏利股份
sh.603587,1,地素时尚
sh.603589,1,口子窖
sh.603595,1,东尼电子
sh.603598,1,引力传媒
sh.603600,1,永艺股份
sh.603602,1,纵横通信
sh.603605,1,珀莱雅
sh.603607,1,京华激光
sh.603609,1,禾丰牧业
sh.603611,1,诺力股份
sh.603613,1,国联股份
sh.603616,1,韩建河山
sh.603618,1,杭电股份
sh.603626,1,科森科技
sh.603629,1,利通电子
sh.603633,1,徕木股份
sh.603637,1,镇海股份
sh.603639,1,海利尔
sh.603650,1,彤程新材
sh.603656,1,泰禾光电
sh.603658,1,安图生物
sh.603660,1,苏州科达
sh.603662,1,柯力传感
sh.603665,1,康隆达
sh.603667,1,五洲新春
sh.603669,1,灵康药业
sh.603677,1,奇精机械
sh.603679,1,华体科技
sh.603681,1,永冠新材
sh.603683,1,晶华新材
sh.603686,1,龙马环卫
sh.603688,1,石英股份
sh.603690,1,至纯科技
sh.603696,1,安记食品
sh.603698,1,航天工程
sh.603700,1,宁水集团
sh.603703,1,盛洋科技
sh.603707,1,健友股份
sh.603709,1,中源家居
sh.603712,1,七一二
sh.603716,1,塞力斯
sh.603718,1,海利生物
sh.603721,1,中广天择
sh.603725,1,天安新材
sh.603727,1,博迈科
sh.603729,1,龙韵股份
sh.603733,1,仙鹤股份
sh.603738,1,泰晶科技
sh.603755,1,日辰股份
sh.603758,1,秦安股份
sh.603767,1,中马传动
sh.603773,1,沃格光电
sh.603777,1,来伊份
sh.603779,1,ST威龙
sh.603787,1,新日股份
sh.603789,1,星光农机
sh.603797,1,联泰环保
sh.603799,1,华友钴业
sh.603801,1,志邦家居
sh.603806,1,福斯特
sh.603809,1,豪能股份
sh.603811,1,诚意药业
sh.603815,1,交建股份
sh.603817,1,海峡环保
sh.603819,1,神力股份
sh.603823,1,百合花
sh.603826,1,坤彩科技
sh.603829,1,洛凯股份
sh.603838,1,四通股份
sh.603843,1,正平股份
sh.603855,1,华荣股份
sh.603858,1,步长制药
sh.603860,1,中公高科
sh.603863,1,松炀资源
sh.603867,1,新化股份
sh.603869,1,新智认知
sh.603876,1,鼎胜新材
sh.603878,1,武进不锈
sh.603880,1,南卫股份
sh.603882,1,金域医学
sh.603885,1,吉祥航空
sh.603887,1,城地股份
sh.603889,1,新澳股份
sh.603893,1,瑞芯微
sh.603896,1,寿仙谷
sh.603898,1,好莱客
sh.603900,1,莱绅通灵
sh.603903,1,中持股份
sh.603908,1,牧高笛
sh.603912,1,佳力图
sh.603916,1,苏博特
sh.603918,1,金桥信息
sh.603920,1,世运电路
sh.603926,1,铁流股份
sh.603928,1,兴业股份
sh.603931,1,格林达
sh.603936,1,博敏电子
sh.603938,1,三孚股份
sh.603948,1,建业股份
sh.603950,1,长源东谷
sh.603956,1,威派格
sh.603959,1,百利科技
sh.603963,1,大理药业
sh.603967,1,中创物流
